ingredient_id,name,category
1,燕麥(即食燕麥片),全榖雜糧類
2,鬆餅粉,加工調理食品及其他類
3,雞蛋,豆魚蛋肉類
4,鮮奶或牛奶,乳品類
5,熟黑芝麻,油脂與堅果種子類
6,花生糖粉,調味料及香辛料類
7,話梅,加工調理食品及其他類
8,番茄,蔬菜類
9,冰糖,糖類
10,水,未分類
11,桂竹筍,蔬菜類
12,福菜,蔬菜類
13,雞架子,豆魚蛋肉類
14,蒜頭,調味料及香辛料類
15,薑片,調味料及香辛料類
16,生辣椒,加工調理食品及其他類
17,鹽,加工調理食品及其他類
18,醬油,調味料及香辛料類
19,糖,調味料及香辛料類
20,地瓜,蔬菜類
21,木薯粉,全榖雜糧類
22,二砂,糖類
23,水(必要時使用),未分類
24,米酒,加工調理食品及其他類
25,蠔油,調味料及香辛料類
26,香油,調味料及香辛料類
27,砂糖,糖類
28,味精,調味料及香辛料類
29,五香粉,調味料及香辛料類
30,黑胡椒粉,調味料及香辛料類
31,白胡椒粉,調味料及香辛料類
32,冷水,加工調理食品及其他類
33,去骨雞胸肉,豆魚蛋肉類
34,萬用醃料,調味料及香辛料類
35,地瓜粉,加工調理食品及其他類
36,九層塔,蔬菜類
37,辣椒粉,調味料及香辛料類
38,白胡椒鹽,調味料及香辛料類
39,不倒翁煎餅粉,加工調理食品及其他類
40,開水,未分類
41,中型透抽（軟足類海鮮皆可),豆魚蛋肉類
42,洋蔥,蔬菜類
43,蔥,蔬菜類
44,胡蘿蔔絲,蔬菜類
45,白醋,豆魚蛋肉類
46,白芝麻、洋蔥碎、蔥花,蔬菜類
47,桃子,水果類
48,鷹嘴豆,豆魚蛋肉類
49,1/2海苔片,調味料及香辛料類
50,白芝麻（裝飾用）,油脂與堅果種子類
51,粉絲,加工調理食品及其他類
52,紅蘿蔔,蔬菜類
53,沙朗牛肉片,豆魚蛋肉類
54,紹興酒,加工調理食品及其他類
55,小蘇打,未分類
56,李錦記舊庄特級蠔油,調味料及香辛料類
57,李錦記頭道醇鮮醬油,調味料及香辛料類
58,蛋白,豆魚蛋肉類
59,玉米澱粉,全榖雜糧類
60,水（醃製用）,加工調理食品及其他類
61,蛋黃,豆魚蛋肉類
62,麵粉,全榖雜糧類
63,青芒果,水果類
64,百香果,水果類
65,汽水,未分類
66,青蔥,蔬菜類
67,玉米粒,全榖雜糧類
68,黑胡椒,加工調理食品及其他類
69,中筋麵粉,全榖雜糧類
70,木薯粉(太白粉),全榖雜糧類
71,雞蛋豆腐,加工調理食品及其他類
72,鹹蛋黃,豆魚蛋肉類
73,鹹蛋白,豆魚蛋肉類
74,紅辣椒,蔬菜類
75,玉米粉（或太白粉）,全榖雜糧類
76,冷開水,加工調理食品及其他類
77,蔥花,蔬菜類
78,全聯賣的五花肉,豆魚蛋肉類
79,大蒜,調味料及香辛料類
80,蔥2,蔬菜類
81,喝剩的可樂（也可以不加）,未分類
82,櫛瓜,蔬菜類
83,洋蔥(小),蔬菜類
84,高麗菜,蔬菜類
85,火腿,加工調理食品及其他類
86,白蘿蔔,蔬菜類
87,青花菜,蔬菜類
88,玉米筍,蔬菜類
89,鴻禧菇,蔬菜類
90,雪白菇,蔬菜類
91,火鍋肉片,豆魚蛋肉類
92,味醂,調味料及香辛料類
93,洋蔥泥,蔬菜類
94,蘿蔔泥,蔬菜類
95,鹽巴,油脂與堅果種子類
96,豬絞肉(粗),豆魚蛋肉類
97,板豆腐,加工調理食品及其他類
98,粉絲(冬粉),加工調理食品及其他類
99,乾香菇(大),蔬菜類
100,辣椒(可略),調味料及香辛料類
101,水(含香菇水),未分類
102,辣豆瓣醬,調味料及香辛料類
103,剝皮辣椒,加工調理食品及其他類
104,鮮香菇,蔬菜類
105,雞腿肉,豆魚蛋肉類
106,雞精,加工調理食品及其他類
107,香蕉,水果類
108,白糖,豆魚蛋肉類
109,牛奶,水果類
110,芝麻（灑表面）,調味料及香辛料類
111,圓櫛,油脂與堅果種子類
112,彩椒,蔬菜類
113,雞胸肉,豆魚蛋肉類
114,豆腐,加工調理食品及其他類
115,起司絲,蔬菜類
116,巴西里末,蔬菜類
117,牛里肌或板腱,豆魚蛋肉類
118,空心菜,蔬菜類
119,辣椒,蔬菜類
120,白飯,全榖雜糧類
121,醬油膏或蔭油,調味料及香辛料類
122,太白粉或玉米粉,全榖雜糧類
123,棕櫚糖或二砂,糖類
124,烏醋,調味料及香辛料類
125,豬絞肉,豆魚蛋肉類
126,豆瓣醬,調味料及香辛料類
127,清水,未分類
128,肉絲,豆魚蛋肉類
129,蝦仁,豆魚蛋肉類
130,蒜頭切片,調味料及香辛料類
131,韮黃,蔬菜類
132,土雞腿去骨,豆魚蛋肉類
133,酪梨油或習慣用油,油脂與堅果種子類
134,天時野櫻莓果醋,調味料及香辛料類
135,檸檬汁,水果類
136,蒜瓣(中型),調味料及香辛料類
137,香菜,調味料及香辛料類
138,黑胡椒粒,加工調理食品及其他類
139,酪梨,水果類
140,厚片吐司,全榖雜糧類
141,奇異果,水果類
