recipe_id,ingredient_id,quantity
1,1,1米杯
1,2,150g
1,3,1顆
1,4,160cc
1,5,2大匙
1,6,3大匙
2,7,15顆
2,8,1盒
2,9,3大匙
2,10,500cc
3,11,1000g
3,12,300g
3,13,1副
3,14,3瓣
3,15,4片
3,16,1條
3,17,2小匙
3,18,1茶匙
3,19,2小匙
4,20,500克
4,21,250克
4,22,90克
4,23,大匙
6,39,200克
6,40,3匙
6,41,1隻
6,42,1/4顆
6,43,3根
6,44,適量
6,18,2匙
6,19,1匙
6,45,1匙
6,26,1匙
6,46,適量
7,47,600克
7,9,150克
7,7,5顆
7,10,300毫升
7,17,適量
8,48,300公克
9,49,10片
9,50,少許
9,51,150公克
9,52,1小塊
9,14,2瓣
9,26,適量
9,53,150公克
9,54,2湯匙
9,22,3小匙
9,17,1小匙
9,55,1小匙
9,56,1大匙
9,57,1大匙
9,58,1顆的量
9,59,1湯匙
9,60,少許
9,61,1顆的量
9,62,少許
9,10,1米杯
10,63,600克
10,64,3顆
10,7,5顆
10,65,1罐
10,17,適量
11,3,2顆
11,66,2根
11,67,4大匙
11,17,1/4茶匙
11,24,1大匙
11,68,1/10茶匙
11,69,3/4米杯
11,70,1/4米杯
11,32,1米杯
12,71,1盒
12,72,3顆
12,73,1顆
12,14,2瓣
12,74,1根
12,43,1支
12,24,1大匙
13,69,3大匙
13,35,1大匙
13,75,1大匙
13,76,5大匙
13,17,1/4小匙
13,77,少許
13,3,1顆
14,78,2條
14,15,4片
14,79,3瓣
14,80,1支
14,18,2大匙
14,24,50毫升
14,81,100毫升
14,10,100毫升
15,82,2根
15,83,一顆
15,84,3片
15,85,3片
15,69,5大匙
15,3,2顆
15,17,適量
16,52,1條
16,86,1條
16,87,1朵
16,88,1盒
16,89,1包
16,90,1包
16,84,1/4顆
16,42,1顆
16,91,1盒
16,56,2大匙
16,92,2大匙
16,10,500毫升
16,93,30克
16,94,30克
16,95,1匙
17,96,100g
17,97,1盒(400g)
17,98,3把
17,99,2朵
17,66,2根
17,14,3瓣
17,100,0.5-1條
17,101,3米杯(500cc)
17,102,2大匙
17,56,1大匙
18,103,7條
18,104,5朵
18,15,7片
18,105,1隻
18,95,1茶匙
18,106,1小匙
19,107,2根
19,3,2顆
19,108,10克
19,109,120毫升
19,110,適量
20,56,1大匙
20,111,2顆
20,112,20克
20,42,10克
20,113,1片
20,114,半塊
20,115,20g
20,30,5克
20,116,5克
21,117,450克
21,118,250克
21,42,1顆
21,14,4瓣
21,119,1根
21,43,2根
21,120,4碗
21,18,1.5湯匙
21,121,1湯匙
21,24,0.5湯匙
21,30,少許
21,122,4茶匙
21,26,1湯匙
21,17,2茶匙
21,123,1.5茶匙
21,124,1湯匙
22,11,850克
22,125,150克
22,126,2大匙
22,56,2大匙
22,18,1大匙
22,17,1茶匙
22,127,3碗
23,128,200克
23,129,7尾
23,42,1/2個
23,84,十大片
23,130,2大匙
23,131,一把
23,25,2匙
23,17,2小匙
24,132,2支
24,133,1.5大匙
24,56,1小匙
24,134,2大匙
24,135,30CC
24,136,3瓣
24,119,1/3根
24,137,2株
24,31,1/4小匙
24,138,1/4小匙
24,17,1/4小匙
24,35,1/2大匙
25,139,500克
25,107,2根
25,140,4片
25,141,2顆
25,142,30顆
26,143,2支
26,144,1小匙
26,31,1/2小匙
26,29,1/2小匙
26,17,1/2小匙
27,145,1杯
27,146,1杯
27,25,2-4大匙
27,31,1小匙
27,147,2-4大匙
27,148,4大匙
27,24,2大匙
27,149,4大匙
27,150,1大匙
28,151,1磅
28,152,4大匙
28,153,4大匙
28,154,2oz
28,155,2大匙
28,156,適量
28,72,1包
29,86,3000克
29,10,900cc
29,157,1000克
29,158,450克
29,159,15朵
29,160,4大匙
29,161,4大匙
29,56,3大匙
29,31,1小匙
29,29,2小匙
29,144,1大匙
30,162,6朵
30,129,6尾
30,113,1片
30,114,半盒
30,56,1大匙
30,163,1支
31,164,600克
31,42,2小顆
31,18,1湯匙
31,153,1湯匙
31,24,1湯匙
31,165,1湯匙
31,68,少許
32,69,300克
32,17,3克
32,166,240克
32,108,3克
32,167,3克
32,168,適量
33,169,250g
33,170,400g
33,171,1條
33,172,1顆
33,14,3瓣
33,173,1株
33,174,2-3塊
33,10,700cc
33,175,120cc
33,138,1/10茶匙
33,176,1大匙
33,17,1／8茶匙
33,177,1大匙
33,155,1大匙
34,178,300毫升
34,179,250毫升
34,180,3片
34,181,24克
34,182,少許
34,183,6 ～7個
35,184,150克
35,84,150克
35,185,100克
35,186,80克
35,187,30克
35,15,10克
35,119,1根
35,29,1/4小匙
35,56,1小匙
35,155,1小匙
35,24,3大匙
35,31,1/4小匙
36,170,350-400g
36,188,250g
36,189,3湯匙
36,10,2湯匙
36,190,1茶匙
36,191,150ml
36,192,一瓣
36,193,少量
37,194,300克
37,195,30克
37,196,30克
37,14,2瓣
37,3,1顆
37,43,1根
37,119,0.5根
37,123,1茶匙
37,18,1湯匙
37,30,少許
37,24,少許
38,197,1包500克
38,198,200cc
38,86,3條共2100克
38,199,8朵
38,200,3大匙
38,201,3大匙
38,56,3大匙
38,31,1小匙
38,29,1小匙
38,144,1大匙
39,202,500克
39,203,15朵
39,204,150克
39,77,1根
39,205,1.5杯
39,17,2小匙
39,206,1小匙
40,207,3 條
40,119,1 根
40,17,1 小匙
40,14,5 瓣
40,45,2 大匙
40,208,1 大匙
40,26,0.5 大匙
41,209,1盒
41,210,1包
41,211,2根
41,56,1茶匙
41,18,1.5大匙
41,92,0.5
41,10,60毫升
42,212,2根
42,213,少許
42,214,各1大匙
42,27,1大匙
42,215,各2大匙
43,216,200克
43,19,35克
43,3,2顆
43,217,2個
43,218,25克
44,11,600克
44,219,600克
44,56,3大匙
44,220,2-3片
44,221,4瓣
44,102,1/2大匙
44,144,1小匙
45,222,1600毫升
45,223,1杯
46,48,250公克（熟重）
46,224,50公克
46,135,30公克
46,10,30公克
46,225,10公克
46,14,15公克
46,17,1公克
46,226,0.2公克
46,227,適量
47,228,200克
47,207,100克
47,119,1條
47,56,1大匙
47,18,1/2茶匙
47,24,2茶匙
47,229,2瓣
47,31,1小撮
47,155,1茶匙
48,230,半斤
48,125,半斤
48,231,1跟
48,232,4根
48,14,4小瓣
48,18,1大匙
48,31,1/2小匙
48,233,1小匙
48,68,1/2小匙
48,24,適量
48,27,1小匙
48,234,少許
49,235,300克
49,15,20片
49,236,1顆
49,17,1小匙
50,237,2份
50,238,6尾
50,239,2顆
50,240,適量
50,241,適量
50,242,6顆
50,88,2根
50,243,少許
50,244,60克
50,245,1克
50,246,1克
50,247,10克
50,248,10克
50,10,5米杯
50,56,1.5米杯
50,249,1.5米杯
50,153,150克
51,250,360克
51,251,40克
51,252,20克
51,253,2克
51,43,2支
51,254,1公分
51,144,適量
51,18,2大匙
51,229,1大匙
51,255,1/2大匙
51,19,1小匙
51,256,1/4小匙
52,257,280克
52,258,1克
52,259,5克
52,19,13克
52,17,3克
52,10,190克
52,167,2.8克
52,154,18克
52,260,12x12x12cm
52,261,6x6x6cm
53,262,1塊
53,95,少許
53,9,適量
53,29,龍欸塞
53,24,1大匙
53,31,多許
54,263,3片
54,144,1小匙
54,17,3/4小匙
55,230,100克
55,264,1根
55,14,5瓣
55,265,1茶匙
55,31,1/2茶匙
56,207,2條
56,266,適量
56,267,1把
56,119,1條
56,17,1／2小匙
56,268,1大匙
56,269,1大匙
56,270,1／2小匙
56,271,1／2小匙
56,272,2大匙
56,273,1.5大匙
56,213,1大匙
56,274,1大匙
58,279,4塊
58,128,250克
58,14,2顆
58,43,2根
58,119,1根
58,56,15克
58,24,10克
58,27,10克
58,102,15克
59,280,2塊
59,281,4顆
59,66,2根
59,144,2小匙
59,56,2小匙
59,10,2大匙
60,282,200 g
60,283,200 g
60,10,400 ml
60,284,4 大匙
60,7,4顆
60,19,10 g
61,285,1把
61,286,4朵
61,287,4片
61,288,1份
61,95,2茶匙
61,213,適量
61,289,3瓣
61,26,1匙
62,290,1大匙
62,97,1/2盒
62,291,1大匙
62,292,1顆
62,95,1小匙
62,293,1包
62,294,1小把
63,88,200克
63,295,150克
63,90,100克
63,296,20克
63,95,1小匙
63,256,1小匙
63,24,2大匙
64,297,300克
64,240,20克
64,241,20克
64,18,2大匙
64,24,2大匙
64,256,小匙
64,298,1大匙
65,170,2個
65,115,50克
65,62,2大匙
65,17,2小匙
65,256,1/2小匙
65,144,適量
66,299,半隻
66,162,8朵
66,300,2根
66,14,5瓣
66,77,適量
66,119,1根
66,18,2大匙
66,176,2大匙
66,24,適量
66,301,1碗
67,207,4條
67,64,2個
67,17,1大匙
67,302,1大匙
67,208,2大匙
68,267,150克
68,125,300克
68,303,175克
68,265,3克
68,304,5克
68,26,10克
68,305,1克
68,306,30張
69,276,50g
69,307,25g
69,308,25g
69,309,110g
69,310,8g
69,17,1小撮
70,276,85 g
70,311,10 g
70,3,2 顆
70,312,70 g
70,27,50 g
70,313,20 g
70,314,30 g
70,315,1.5 g
70,316,1/2 小匙
70,216,100 g
70,317,40 g
70,318,30 g
71,11,720克
71,319,1根
71,18,2大匙
71,56,1大匙
71,19,1大匙
71,127,3碗
72,320,1盒
72,321,3瓣
72,322,1根
72,25,1大匙
72,17,適量
72,19,適量
72,31,適量
72,225,2大匙
73,323,200克
73,108,15克
73,59,30克
73,109,250毫升
73,324,適量
74,325,200克（13片）
74,326,80克
74,216,500克
74,208,140克
74,309,15克
74,327,1顆
74,135,15克
74,3,2顆
74,328,300克
74,329,1個
74,154,適量
74,330,1
75,331,半盒
75,332,1球
75,333,1根
75,296,3瓣
75,102,1匙
75,31,1/8茶匙
75,56,1大匙
75,18,2茶匙
75,19,1/2茶匙
75,10,1米杯
76,334,1根
76,335,150毫升
76,109,80克
76,336,1顆
76,17,1小撮
77,337,6吋圓模
77,338,1瓶(240ml)
77,179,150g
77,339,10g
77,76,30g
77,340,100g
77,341,適量
77,342,80g
77,276,30g
78,343,1大匙
78,344,200g
78,42,20克
78,115,50克
78,68,5克
78,345,5克
79,346,2斤
79,347,1斤半
79,77,多許
79,348,你快樂就好
79,296,你快樂就好
79,349,1.5大匙
79,26,3茶匙
79,84,1顆半
80,288,1碗
80,322,1根
80,350,3片
80,351,1片
80,25,2大匙
80,17,適量
80,19,適量
80,31,適量
80,24,1茶匙
80,225,1小匙
80,10,0.5杯
81,352,3公克
81,10,195公克
81,312,60公克
81,257,300公克
82,353,50克
82,9,20克
82,178,300cc
83,354,200g
83,127,2500cc
83,312,適量
83,9,適量
84,105,2支
84,355,1包
84,356,500克
84,357,160克
84,358,100克
84,359,1把
84,360,3-5片
84,119,適量
84,361,3-5片
84,362,1顆
84,271,1小匙
85,363,50克
85,178,250cc
85,208,50克
85,364,5克
85,9,100克
85,365,適量
86,366,1杯
86,367,100克
86,24,少許
86,312,適量
87,354,80g
87,368,10粒
87,9,50g
88,369,8-10朵
88,368,15粒
88,312,適量
89,370,1/2杯
89,371,2杯
89,127,12杯
89,9,1杯
90,372,50ml
90,230,100g
90,373,100g
91,374,65g
91,87,80g
91,355,25g
91,375,25g
91,119,5g
91,14,1蒜瓣
91,376,少許
91,17,適量
91,24,1大匙
91,10,30cc
92,377,240g
92,230,24個
92,378,8個
92,42,1/2顆
92,14,2瓣
92,379,20g
92,18,2大匙
92,380,1大匙
92,127,3大匙
92,318,2小匙
93,381,1瓶
93,125,400g
93,382,4顆
93,42,1/2顆
93,35,適量
93,269,1大匙
93,383,2大匙
93,18,1大匙
93,318,1小匙
93,26,1小匙
93,17,1/2小匙
94,384,2個
94,385,60g
94,109,120ml
94,17,1/4茶匙
94,327,半顆
94,154,20g
94,379,1顆
94,307,適量
94,386,適量
94,135,適量
95,170,3顆
95,387,5顆
95,388,150克
95,389,100克
95,390,80克
95,391,200克
95,392,4片
95,95,1茶匙
95,208,1小匙
95,256,1茶匙
95,30,1小匙
96,264,20g
96,393,20g
96,279,50g
96,394,20g
96,395,10g
96,95,5g
96,296,10g
96,19,5g
96,45,5cc
96,396,10cc
97,97,1塊
97,397,適量
97,213,適量
97,17,少許
97,68,少許
97,292,1顆
97,62,適量
98,398,30g
98,399,300g
98,264,100g
98,18,50ml
98,400,10ml
98,19,10g
98,43,10g
99,401,175g
99,87,30g
99,88,10g
99,154,5g
99,402,1大匙
99,403,適量
99,404,適量
100,405,20g
100,281,1顆
100,406,50g
100,407,20g
100,14,1蒜瓣
100,24,1大匙
100,18,1/2小匙
101,408,1條
101,236,1/2顆
101,9,2大匙
101,10,適量
101,409,1大匙
102,410,250gx2
102,336,3顆
102,411,20g
102,333,20g
102,17,少許
102,68,少許
102,412,1/2顆
102,135,1大匙
102,18,1大匙
102,92,1大匙
102,400,1大匙
103,413,2片
103,414,1把
103,393,2片
103,415,2片
103,137,少許
103,416,2大匙
103,17,1/4小匙
103,45,1大匙
103,18,1大匙
103,256,1/4小匙
103,417,1大匙
104,113,200克
104,3,2顆
104,418,200克
104,419,50克
104,420,200克
104,421,適量
104,422,50克
105,423,1片
105,120,2碗
105,95,1小匙
105,213,1大匙
105,424,適量
105,425,1片
106,299,300g
106,3,2顆
106,42,1顆
106,426,10顆
106,77,1碗
106,427,2大匙
106,24,2大匙
106,18,2大匙
106,95,適量
106,428,適量
106,356,半杯
107,125,300g
107,429,半盒
107,42,半顆
107,430,半杯
107,427,半杯
107,24,半杯
107,206,適量
107,348,1小匙
107,296,2瓣
107,10,1.5杯
107,431,適量
107,43,1把
108,69,250g
108,432,50g
108,433,1大匙
108,434,180g
108,352,3g
108,19,15g
109,435,1碗
109,20,1條
109,97,1盒
109,186,1盒
109,436,1條
109,18,1大匙
109,433,1小匙
109,437,1大匙
109,24,1大匙
109,19,1小匙
109,95,適量
110,438,很多
110,439,2杯
110,440,2大匙
110,427,1大匙
110,95,適量
111,441,3個
111,3,1顆
111,69,70g
111,442,1小匙
111,208,30g
111,276,30g
111,109,100cc
111,182,1/2小匙
112,443,適量
112,312,適量
112,69,235g
112,444,45g
112,167,1小匙
112,17,3.8g
112,27,20g
112,127,180g
113,445,100克
113,446,100克
113,447,30克
113,317,100克
113,379,30克
113,141,30克
113,448,50克
114,449,1/2茶匙
114,450,450ml
114,451,1茶匙
114,452,30g
114,453,1杯
114,454,60g
